$BlockNames
EXP_JointSet_1_Axle_111:EXP社 小型車軸
msgBlockRotation_Pad:保持しているブロックは、{key:0}および{key:1}で回転させることができます。どうぞ試してみてください！
msgEnemyIncoming:注意！ライバルユニットが1機、ここへ落ちてきます！
msgExitBeam:<color=#81ccefff>ユニット</color>復帰完了！<color=#81ccefff>Bキー</color>を押し、<color=#81ccefff>ビルドモード</color>を解除しましょう。
msgExitBeam_Pad:基礎<color=#81ccefff>ユニット</color>を組み立てたね。次に、{key:0}を押して<color=#81ccefff>ビルドビーム</color>を解除しよう。
msgExitBeam2:あなたの<color=#81ccefff>ユニット</color>を組み立てなおし、準備ができたら<color=#81ccefff>Bキー</color>を押して<color=#81ccefff>ビルドビーム</color>を解除しよう。
msgExitBeam2_Pad:準備ができたら<color=#81ccefff>ユニット</color>を組み立てなおし、{key:0}を押して<color=#81ccefff>ビルドビーム</color>を解除しよう。
msgExitButton:終了
msgFightEnemy:どうやら我々の活動が<color=#f23d3dff>ライバル会社</color>に気付かれてしまったようです。相手を倒し、は自分のユニットを守ってください！
msgGameOver:おっと！最後の<color=#81ccefff>操縦ブロック</color>が壊されてしまった！どちらのユニットで再開するか選んでほしい。
msgGameOverDemo:残念！ゲームオーバーだ！
msgGameOverNearbyTech:おっと！最後の<color=#81ccefff>操縦ブロック</color>が壊されてしまった！どのユニットで再開するか選んでほしい。
msgHelperLost:NOT USED
msgPresentLostSingular:NOT USED
msgPresentsLostPlural:NOT USED
msgProtectThePresents:NOT USED
msgRebuildQuickly:NOT USED
msgRetryButton:リトライ
msgShootEnemyReminder:<color=#81ccefff>スペースキー</color>を長押しにして射撃を<color=#f23d3dff>敵の操縦ブロック</color>に当てよう。
msgShootEnemyReminder_Pad:{key:0}を長押しして射撃を<color=#f23d3dff>敵の操縦ブロック</color>に当てよう。
msgStdBlockFirst:次は<color=#81ccefff>マウスの左ボタン</color>で<color=#81ccefff>操縦ブロック</color>を<color=#81ccefff>基本ブロック</color>の後方に取り付けてみよう ※コンフィグを変更した場合は異なります。
msgStdBlockFirst_Pad1:{key:0}で<color=#81ccefff>十字線</color>を<color=#81ccefff>地面のブロック</color>に移動させ、{key:1}を押して拾う。
msgStdBlockFirst_Pad2:<color=#81ccefff>ブロック</color>を<color=#81ccefff>操縦ブロック</color>の後ろに{key:0}で移動させ、{key:1}を押して設置してください。
msgToInvade:<color=#81ccefff>Snapshot Button</color>をクリックすると<color=#81ccefff>操縦中の操作ユニット</color>で他のプレーヤーを侵略できる
msgTryDriving:ユニットは<color=#81ccefff>W・A・S・D</color>キーで操縦できます ※コンフィグを変更した場合は異なります。
msgTryDriving_Pad:システムをチェックしてください。{key:0}で操縦します。
msgTryScavenge:<color=#f23d3dff>ライバルユニット</color>をたおしました！いくつか<color=#81ccefff>ブロック</color>を残していったようです。自分の<color=#81ccefff>ユニット</color>に取り付けてみましょう
msgTryScavenge_Pad:さすがですね！<color=#f23d3dff>トニー</color>が<color=#81ccefff>ブロック</color>を残していったようです。{key:0}を押して拾い、<color=#81ccefff>ユニット</color>に設置しましょう！
msgTryShooting:大丈夫そうですね。<color=#81ccefff>マシンガン</color>など武器の発射は<color=#81ccefff>スペースキー</color>。 ※コンフィグを変更した場合は異なります。
msgTryShooting_Pad:さて、次は武器ですね。長押しして{key:0}銃を<color=#81ccefff>発砲</color>しましょう。
msgTurnCamera:<color=#81ccefff>マウスの右ボタン</color>を押したまま移動させ、他にパーツがないか見回してみよう ※コンフィグを変更した場合は異なります。
msgTurnCamera_Pad:{key:0}でカメラを移動させ、周囲を見渡して、ほかの部分も探しましょう。
msgWelcome:ふぅ!<color=#81ccefff>操縦ブロック</color>に傷がついてしまったが、なんとかたどり着けた。
msgWelcomeDemoAlternate:これが<color=#81ccefff>操縦ブロック</color>だ。絶対に守らなければならない。
$GSOFTUE1SolGen
MsgSolGen1Near:地面に固定することで発電してくれる<color=#81ccefff>太陽光発電機</color>を見つけました！
MsgSolGen1BNear:<color=#81ccefff>発電機</color>を<color=#81ccefff>左クリック</color>でつかみ、地面に固定しよう(ズームインすると固定しやすくなります）。
MsgSolGen1BNear_Pad1:{key:0}を押して<color=#81ccefff>太陽光発電機</color>を拾いましょう。
MsgSolGen1BNear_Pad2:<color=#81ccefff>太陽光発電機</color>を{key:0}で移動させましょう。地面についている間に{key:1}を押してください。
MsgSolGen6HasBeenAnchored:やった！<color=#81ccefff>太陽光発電機</color>は地面に設置され、発電を始めたぞ
QLMissionTitle:太陽光発電機
QLMissionDescriptionLong:墜落の衝撃で太陽発電機がなくなってしまった。見つけ出して修理し、発電できるようにしよう。
QL1FindsolGen:太陽光発電機を見つけよう
QL3AnchorSolGen:太陽光発電機を地面に設置しよう
QL5AttachRepair:リペアフィールド発生機を装着しよう
QL6RepairTech:自分のユニットを修理しよう
QL7UnanchorSolGen:リペアステーションを分解しよう
$GSOFTUE1Regen
MsgRegen1Near:着陸の時に分裂した<color=#81ccefff>リペアフィールド発生機</color>が落ちてきた
MsgRegen1BNear:<color=#81ccefff>リペアフィールド発生機</color>を拾い上げよう
MsgRegen7TakeRepairToSolGen:<color=#81ccefff>リペアフィールド発生機</color>を<color=#81ccefff>太陽光発電機</color>のところまで持ち帰ろう
MsgRegen8AttachRepairToSolGen:さあ<color=#81ccefff>太陽光発電機</color>に設置してみよう
MsgRegen8AttachRepairToSolGen_Pad:さて、次は<color=#81ccefff>太陽光発電機</color>を{key:0}に移動させて{key:1}を押して設置してください。<color=#81ccefff>リペアバブル発生機</color>を動かすには電力が必要だ
MsgRegen10Attached:いいね、もうすぐ動き出すぞ！
QLMissionTitle:リペアフィールド発生機
$GSOFTUE1HealPlayer
MsgHealPlayer4RepairComplete:素晴らしい！<color=#81ccefff>ユニット</color>の準備が完全に整ったようですよ！
MsgHealPlayer4CRepairComplete:<color=#81ccefff>ミッションログと黄色いマーカー</color>を頼りに他の<color=#81ccefff>積み荷</color>も探しだそう
MsgHealPlayer6MoveInsideToHeal:緑色の<color=#81ccefff>リペアフィールド</color>に入り、<color=#81ccefff>ユニット</color>を修理しよう。
$GSO1SolarGenerator
MsgDismantleBase:ここから出る前に<color=#81ccefff>リペアステーション</color>も持っていくのもお忘れなく！
MsgUnanchorSolarGenerator:<color=#81ccefff>マウスの左ボタン</color>で<color=#81ccefff>太陽光発電機</color>と<color=#81ccefff>リペアバブル</color>を拾い<color=#81ccefff>ユニットに</color>取り付けてください。
MsgUnanchorSolarGenerator_Pad1:{key:0}を押して<color=#81ccefff>ターゲットの十字線</color>を表示。
MsgUnanchorSolarGenerator_Pad2:{key:0}で<color=#81ccefff>ターゲットの十字線</color>を<color=#81ccefff>リペアステーション</color>に動かし{key:1}を押してください。
MsgUnanchorSolarGenerator_Pad3:<color=#81ccefff>ブロック</color>を<color=#81ccefff>ユニット</color>まで{key:0}で動かし{key:1}を押して設置してください。
$GSO1S5Battery
Msg1LookForBlock1:積み荷の一部がこの近くに落ちました！
Msg1LookForBlock2:<color=#81ccefff>燃えている木</color>に引っかかっている<color=#81ccefff>ブロック</color>が見えますか？
Msg3AhBatterWedgedInRock1:見てください！<color=#81ccefff>木</color>に<color=#81ccefff>バッテリー</color>が引っかかっています！
Msg4DestroyTheRock1:<color=#81ccefff>燃えている木</color>を切り倒して<color=#81ccefff>バッテリー</color>を地面へ降ろしてください
Msg5HardLuckBatteryDestroyed1:おっと、 <color=#81ccefff>バッテリー</color>が壊れてしまったようだ。そんなこともあるさ。
Msg6BatteryAttached1:その調子です、充電された<color=#81ccefff>バッテリー</color>さえあれば移動中でも<color=#81ccefff>リペアフィールド</color>で回復できます
Msg7PickUpTheBattery1:<color=#81ccefff>バッテリー</color>を拾い上げてください
Msg8OopsGrabItAgain1:おっと、もう一度<color=#81ccefff>バッテリー</color>をつかんでみよう。
Msg9OkAttachItToYourTech1:<color=#81ccefff>ユニット</color>に取り付けましょう
QLMissionTitle:バッテリー
QLDescriptionLong:お探しのバッテリーは墜落の衝撃でチリになってしまった。あなたの居場所を特定したので、すぐ届くでしょう。
QL1FIndBattery:バッテリーを回収する
QL2FellTree:燃えている木を切り倒す
QL4AttachBattery:バッテリーを装着
$GSO1DeliveryCrate
QLTitle:小包みの受け取り
QLDescriptionLong:無線：”えー、こちらGSO本部。不時着した地点へ貨物を投下するので受け取ってください”
QLDesc01:スタート地点に戻る
QLDesc02:貨物を開封する
QLDesc03:装備を整え、冒険に出発！
msgGoToLocation01:これで基本装備は揃いました！本部から貨物を投下するので受け取ってください。
msgGoToLocation02:不時着した場所へ戻ったらまた連絡しましょう。
msgArrivedAtLocation:スタート地点に到着！
msgCrateLanding:そろそろ<color=#81ccefff>小包み</color>がそこに届くはずです。
msgCrateLanded:<color=#81ccefff>小包み</color>は接近すると自動で開封されます。取られたり壊されたりしないよう気を付けてください！
msgCrateUnlocked01:ぜひ新しい装備を使いこなしてください！
msgCrateUnlocked02:<color=#81ccefff>新型のタイヤ</color>は探索をより楽にしてくれるはずです！
msgLeaveArea:<color=#81ccefff>新しい装備</color>で<color=#81ccefff>ユニット</color>の再構築が済んだら新天地へ旅立とう！
$GSO1XVendorBoss
Msg1AliveInRangeBoss5:なんてことだ！<color=#f23d3dff>Trader Troll</color>に邪魔されている!
Msg1AliveInRangeBoss6:<color=#f23d3dff>Troll</color>を倒し、<color=#81ccefff>GSO交易所</color>を使えるようにしましょう。
Msg2AliveInRangeVendor1:<color=#81ccefff>GSO交易所</color>をついに見つけました！
Msg2AliveInRangeVendor2:<color=#81ccefff>GSO交易所</color>はブロックを売り買いできる公共施設です。
Msg2AliveInRangeVendor3:<color=#81ccefff>GSO交易所</color>は壊れることがなく、敵/味方すべてのユニットが利用に来ます。
Msg3BossDeadNoTractor5:<color=#81ccefff>交易所</color>の<color=#81ccefff>売買端末</color><color=#81ccefff>右クリック</color> するとブロックを発注できます。
Msg3BossDeadNoTractor5_Pad:{key:0}を押して<color=#81ccefff>十字線</color>を<color=#81ccefff>交易所</color>の側にある<color=#81ccefff>ショップターミナル</color>に移動させ{key:1}を押してください。
Msg3BossDeadNoTractor6:<color=#81ccefff>装飾ブロック</color>の分類から<color=#81ccefff>GSO コレクター"シンブル"</color>を選んで発注しましょう。
Msg3BossDeadNoTractor6_Pad:{key:0}を長押ししながら{key:1}で<color=#81ccefff>アクセサリーのブロック</color>カテゴリーをハイライトしましょう。 <color=#81ccefff>GSO社 コレクター"シンブル"</color>を選択して{key:2}を押し、購入してください。
Msg6VendorOverThere1:資金を得るために<color=#81ccefff>GSO交易所</color>を見つけてください。
Msg6VendorOverThere2:<color=#81ccefff>GSO交易所</color>は売買ができる中立の施設です
Msg6VendorOverThere3:資金を使って様々な<color=#81ccefff>ブロック</color>を購入することができます
Msg6VendorOverThere4:右下マップの黄色いマーカーが示す方向へ進んでください
Msg7AttachTheTractor1:よし！<color=#81ccefff>コレクター</color>を<color=#81ccefff>ユニット</color>に取り付けよう
QL1FindVendor:GSO交易所を探そう
QL2ApproachVendor:交易所に近づこう
QL3DefeatTroll:敵ユニットを撃破しよう
QLMissionTitle:交易所
QLDescriptionLong:いくらかの資金を持っているみたいだ。早速 GSO交易所へ行って売り物を見てみよう
$GSO16FindTradingStation
MsgTrollIncomingEasy:おっと、<color=#f23d3dff>何か</color>がこちらに向かっています！気を付けてください！
MsgTrollIncomingNormal:<color=#f23d3dff>何か大きい影</color>がこちらに向かっています！襲撃に備えてください！
MsgTrollIncomingHard:危険！<color=#f23d3dff>頑丈そうな何か</color>が落ちてきます！戦闘用意！
$GSO21UseMissionBoard
MsgTradingStationIntro01:やりました！<color=#f23d3dff>邪魔者</color>たおしたので、世界中に散らばる<color=#81ccefff>交易所</color>が利用できるようになります！
MsgTradingStationIntro02:<color=#81ccefff>交易所</color>ブロックの販売と資源の買取をします。品揃えは夜明けとともに刷新されます！
MsgTradingStationIntro03:また、<color=#81ccefff>ミッションボード</color>では新しいミッションを受注できます
MsgOpenMissionBoard:<color=#81ccefff>交易所</color>の青い帯"<color=#81ccefff>ミッションボード</color>"を右クリックしてください
MsgOpenMissionBoard_Pad:{key:0}を押して<color=#81ccefff>十字線</color>を<color=#81ccefff>ミッションボード</color>に移動させてください。ボードは<color=#81ccefff>交易所</color>の近くにあります。そして{key:1}を押してください。
MsgAcceptMission:ミッションを選び、<color=#81ccefff>ミッション受諾</color>のボタンを選択してください
MsgAcceptMission_Pad:{key:0}を押して、ハイライトされたミッションを受諾してください。
QLTitle:ミッションボード
QLDescriptionLong:ミッションをたくさん受注したい場合は交易所のミッションボードにアクセスしてください
QL01:交易所を訪問する
QL02:ミッションボードを活用しよう
$GSO22EarnMoney
MsgEarnMoneyIntro01:いろいろやってみたいという人にちょうどいい依頼が届いてます！
MsgEarnMoneyIntro02:この惑星には取り切れないほどの<color=#81ccefff>資源ブロック</color>があります！
MsgEarnMoneyIntro03:回収した<color=#81ccefff>資源ブロック</color>を本部へ送ることで調査研究や産業の発展に貢献できるでしょう
MsgEarnMoneyIntro04:もちろんタダ働きではなく、報酬ももらえます！
MsgSellResources01:<color=#81ccefff>コレクター</color>は近くの<color=#81ccefff>資源ブロック</color>を自動的に拾い上げ、その保持ビームに貯めることができます
MsgSellResources02:近くの<color=#81ccefff>岩石</color>や<color=#81ccefff>樹木</color>から、どんな<color=#81ccefff>資源ブロック</color>が採れるか試してみよう！
MsgSellResources03:出現した<color=#81ccefff>資源ブロック</color>を<color=#81ccefff>交易所</color>へ持って行こう
MsgResourcesSold01:おみごとです、<color=#81ccefff>資源ブロック</color>は充分あつまりました。
MsgResourcesSold02:あなたには探検家としての素質があるようです
MsgResourcesSold03:そろそろ独り立ちをしても大丈夫でしょう。
MsgOpenMissionBoard:<color=#81ccefff>ミッションボード</color>に新しい依頼が届いています
MsgComplete01:今後は自分の手でこの世界を切り開き、進んでください！
MsgComplete02:<color=#81ccefff>健闘を祈ります</color>！
QLTitle:いざ旅立ち
QLDescriptionLong:才能ある探検家は未開の惑星で暮らす手段を熟知している。交易所を活用し、獲得した資源をGSO社の調査部門へ送ろう。
QL01:コレクターを発注
QL02:コレクターをユニットに装着
QL03:資源ブロックを売却し、資金(BB)を獲得する
QL04:ミッションボードを閲覧
$GSO1S3RadarPt1
Msg2TechHasBlock1:あ！<color=#f23d3dff>コソドロ</color>があなたの<color=#81ccefff>レーダー</color>を持ち出そうとしている！止めないと！
QL1FindRetriveRadar:レーダーを見つけよう
QL3AttackTheThief:盗っ人をやっつけよう
QL5AttachRadar:レーダーを取り付けよう
QLMissionTitle:レーダー
QLDescriptionLong:キミのレーダーは不時着までの間に吹っ飛んでしまった。そこで我々はその吹っ飛んだレーダーの位置を特定してみたが、何やらその近くに別の反応もあるぞ…
$GSO1S3RadarPt2
Msg8RadarAttached1:<color=#81ccefff>レーダー</color>によって<color=#81ccefff>HUD</color>に<color=#81ccefff>ミニマップ</color> が追加されました
Msg5PickUpRadar1:賊が落とした<color=#81ccefff>レーダー</color>を自分の <color=#81ccefff>操縦ユニット</color>に装着しよう
$GSOFTUEReminderPointers
MsgSolarGenA:どうやら<color=#81ccefff>重要なブロック</color>が黄色いマーカーの場所へ落ちたようです。
MsgSolarGenB:<color=#81ccefff>操縦ユニット</color>を修理する何かがあるか探してみましょう。
$Mission_DefendFriendlyTech
msgDistressSignal:この近くで<color=#81ccefff>味方ユニット</color>からの救難信号をキャッチしました！救援に向かってください！
msgFriendlyTechFound:助けてください！敵に襲われているんです！
msgLeavingMissionArea:警告！ミッション区域を離れようとしています。このまま進むとミッション失敗になります。
msgMissionFailedDistance1:なんということでしょう！助けを求めていた<color=#81ccefff>味方ユニット</color>を置いて逃げ出すとは！
msgMissionFailedDistance2:《ミッション失敗》
msgMissionFailedDeath1:なんということでしょう！救援要請を出していた<color=#81ccefff>味方ユニット</color>が破壊されてしまいました！
msgMissionFailedDeath2:《ミッション失敗》
msgMissionComplete1:助けてもらったお礼に、あなたの指揮下に入ります！
msgMissionComplete2:《ミッション完了》
msgEnemiesIncoming:<color=#f23d3dff>敵の軍勢</color>がいまにも襲ってきそうです！警戒してください！
msgEnemiesGivingUp:<color=#f23d3dff>敵の軍勢</color>に我々の恐ろしさを叩き込んでやりました！これ以上は攻めてこないでしょう！
QLDefend:味方ユニットを一定時間、護衛する
QLTitle:敵襲！敵襲！
QLDescription:標的が近くの味方ユニットに定められたようです！間もなく奇襲を受ける味方の援護をお願いします！ひとたび始まってしまうと問答無用で敵の攻撃は続くことが予想されます！
$Mission_DefendFriendlyTech2
QLDefend:敵の継続的な攻撃から味方ユニットを守る
QLTitle:盗賊の群れ
QLDescription:周辺区域にて盗賊ユニットの脅威に怯えている味方ユニットがいる。守り切ることができれば我が陣営に加わることが予想される。しかし、盗賊ユニットの群れは一度攻撃を受けると一定時間、追撃してくるので耐久力には充分注意されたし。
$Mission_DefendFriendlyTech3
QLDefend:敵の波状攻撃から味方ユニットを護衛する
QLTitle:電撃作戦を撃退せよ
QLDescription:悪漢どもが味方ユニットへ電撃作戦を仕掛けているようです！敵通信を傍受して割り出した次に狙われる味方ユニットの位置をマップに表示しますので、いますぐ救援に向かい、敵の波状攻撃から守ってください！
$Mission_DefendFriendlyTech4
QLDefend:味方ユニットを護衛
QLTitle:敵襲！
QLDescription:同盟勢力の位置を敵の編隊に特定されたようだ。既に敵はユニットを送り込んでいるらしく、その攻撃は一定時間続くと予想される。現場へ急行し味方ユニットを護衛してください！守り切ることさえできれば見返りも期待できるでしょう。
$Mission_DefendFriendlyTech5
QLDefend:ユニットを敵の奇襲から守り抜け
QLTitle:撃退！追撃部隊
QLDescription:敵勢力から逃走した味方捕虜ユニットがこのエリアに現れました。敵の追撃部隊も向かっている。この捕虜ユニットは現状を一変させる敵機密を持ち帰っており、なんとしても捕虜ユニットを守り抜いて奪還を阻止してほしい。敵の奇襲は複数回あると予測される。
$Mission_GSO_2_TradingStationSCU
msgDefeatEnemies01:ガガガ・・・敵影ヲ感知。交易所ヲ守レ！
msgDefeatEnemies02:AIターレットが誤作動を起こしているようだ！
msgDefeatEnemies03:<color=#f23d3dff>ターレット</color>(赤)を撃破し、もう一方を味方につけよう
msgEnemiesDefeated01:ジジジ・・・敵ノ無力化ヲ確認。
msgEnemiesDefeated02:ピピピ・・・待機モードニ入ル。
msgTurretIdle01:どうやらターレットはあなたの命令を待っているようだ
msgTurretIdle02:あなたの為にこの<color=#81ccefff>交易所</color>を<color=#81ccefff>守</color>ってもらうのはどうでしょうか？
msgOpenAIMenu:ターレットにカーソルを合わせ、<color=#81ccefff>右クリック</color>を押しっぱなしにして<color=#81ccefff>AIメニュー</color>を開こう
msgOpenAIMenu_Pad1:{key:0}を押して<color=#81ccefff>ターゲットの十字線</color>を表示しましょう。
msgOpenAIMenu_Pad2:ターレットに照準を定め{key:0}て<color=#81ccefff>AIメニュー</color>を表示させましょう。
msgSelectGuard:<color=#81ccefff>護衛</color>モードにカーソルを合わせてクリックを離しましょう。
msgSelectGuard_Pad:【護衛】を{key:0}で選択し{key:1}を押してください。
msgTurretOrdered01:リリリ・・・命令ヲ受信。周辺ノ安全ヲ確認。
msgTurretOrdered02:交易所ノSCU機能ヲ起動シマス。
msgSCUEnabled01:どうやら新たな仲間ができたようですね。
msgSCUEnabled02:今後は<color=#81ccefff>SCU</color>デバイスが<color=#81ccefff>交易所</color>で使えるようになりました
msgSCUEnabled03:<color=#81ccefff>SCU</color>デバイスは地面に落ちているブロックを吸引してあなたの<color=#81ccefff>インベントリ</color>に収納してくれます。
msgOpenInventory:<color=#81ccefff>インベントリ</color>ボタンをクリックするか、<color=#81ccefff>ビルドモード</color>に入ることで<color=#81ccefff>インベントリ</color>画面が開きます。
msgOpenInventory_Pad1:<color=#81ccefff>インベントリ</color>にアクセスするには、まず{key:0}を押して<color=#81ccefff>ビームを構築</color>を入れてください。
msgOpenInventory_Pad2:さあ、{key:0}を押して<color=#81ccefff>インベントリ</color>を開けてください。
msgMissionComplete01:<color=#81ccefff>インベントリ</color>画面のブロックをクリックすることでいつでもどこでも再構築ができます。
msgMissionComplete02:<color=#81ccefff>交易所</color>へ寄ったついでに新<color=#81ccefff>しいブロックやミッションを</color>のぞいてみてはいかがでしょうか？
QLTitle:ターレット護衛
QLDescriptionLong:近くの交易所にて、ライバル社の護衛ターレットに異常が発生したとの情報が入った。急行して状況の把握と解決を頼まれてほしい。
QLDesc01:交易所を訪れる
QLDesc02:敵ターレットの破壊
QLDesc03:ターレットに交易所護衛を指示する
QLDesc04:インベントリ画面を開く
$Mission_GSO_2_S_GC_License
QLTitle:黄色いデカブツ
QLDesc:GeoCorp採掘社に活動が評価された。彼らの失敗作”Big Burner”撃破の見返りにグレード1ライセンスをもらいましょう
QLFindAndDestroy:”Big Burner”を捜索
msgEnemySpotted:”Big Burner”を撃破せよ
QLDescriptionLong:GeoCorp採掘社の採掘ユニットが応援を要請しています。現場に向かい、手伝ってあげてください
QLDesc01:GeoCorpユニットの捜索
QLDesc02:資源ブロックをピートに届ける
msgIntro01:フォッフォッ、こっちじゃよ！
msgIntro02:やあ若いの、よく来てくれた！
msgIntro03:ワシの名前は<color=#81ccefff>ビッグピート</color>採掘屋の中ではこの星イチバンの働き者じゃよ
msgIntro04:ん？どうしてこんなところでのんびりしてるのかって？ま、まぁそうじゃな・・・
msgIntro05:そ、そうじゃ！いわゆる【福利厚生】としての休暇じゃよ！フォッフォッ
msgIntro06:ときにお主、日々を充実して過ごすために、昔ながらの労働を味わってみる気はないかね？
msgIntro07:手始めに<color=#81ccefff>資源ブロック</color>をいくつか運んで来てくれんかの？どんな<color=#81ccefff>資源ブロック</color>でも歓迎じゃ！
msgIntro08:お主にも何かメリットがあるかもしれんぞ！フォッフォッ
msgConsumingStarted:いい滑り出しじゃの。もっと欲しいのぉ・・・
msgConsumingHalfway:フォッフォッ、いい調子じゃ！あと少し頼もうかの。
msgComplete01:うむ、そろそろ充分あつまったかの！
msgComplete02:素晴らしい！おかげで今日のワシのノルマ達成じゃ
msgComplete03:キミもいい汗かいたじゃろう？よかったよかった！
msgComplete04:わが社はキミのような人材を求めていたよ！約束の通り、これが報酬のライセンスじゃ
msgComplete05:それはキミだけの<color=#81ccefff>GeoCorpライセンス</color>じゃ。わが社へようこそ！
msgLeavingMissionArea:なにか他の用事かね？また来ておくれ。フォッフォッ
$Mission_GSO_3_S_VEN_License
QLTitle:時間との勝負！
QLDesc:Venture社があなたのドライビングテクニックを格付けする為、この地域にスピード狂を送り込んできた。アクセル全開でVenture社の取扱免許を勝ち取ろう！
msgIntro01:ブーン！ブーン！こっちだ新人君！
msgIntro02:ハッ、やっと会えたな！
msgIntro03:オレが誰かって？<color=#81ccefff>Ventureレーシングチーム</color>の<color=#81ccefff>スージー</color>と呼んでくれ！
msgIntro04:（あれっ？もしやオレたちのこと知らないんじゃ・・・？）
msgIntro05:ま、まあいいや。オレがここへ来たのは大勢いる新人のドライビングテクニックを見極め、ライセンスを与えるためさ！
msgIntro06:さて本題だが、ライセンス試験として<color=#81ccefff>タイムアタック</color>に挑戦する気はないかい？
msgIntro07:合格できたら栄誉ある<color=#81ccefff>Venture社の取扱資格</color>を授与しようじゃないか！
msgIntro08:（誰にでもあげられるものじゃないんだがなぁ・・・）
msgStartRace:さあさあ！スタートラインをくぐったら計測開始だ！
msgRaceStarted:ブーン！ブーン！よーいドン！
msgRaceStartedEarly:おおっ！ずいぶん頑張ってるな！ブーン！
msgHalfwayRound:半周したぞ！その調子だ！ブーン！
msgOutOfBounds:おーい新人君！コースのどこかで引っかかったか？スタート地点に戻ってきなよ！
msgOutOfTime:時間切れになるより先にゴールしなきゃダメだぞ！スタート地点に戻ってきなよ！
msgComplete01:いいぞー！新人にしてはいい腕前だ！
msgComplete02:わが社の<color=#81ccefff>ライセンス</color>だ！大事にしてくれ！近いうちにまた会おう！ブーンブーン！
QLDesc01:Venture社のSpeed Star 号を探す
QLDesc02:タイムアタックに合格する
$Mission_GSO_4_S_HE_License
msgMissionStart:所属不明の熱源反応を近くで確認。油断せずにその正体を明らかにせよ！
msgTechCrashing01:飛行物体を発見！鳥か？それとも飛行機・・・？
msgTechCrashing02:何にせよ、勢いよく落ちてくるぞ！
msgCrashedTechFound:着陸後は動きがないみたいだ・・・
msgCrashedTechBlownUp:残念！跡形もなく壊れてしまったようだ・・・
msgEnemiesIncoming:おっと、何者かが残骸を破壊しに降りてくるぞ！巻き込まれないように迎撃せよ！
QLDesc01:周囲を探索
QLDesc02:墜落物に接近せよ
QLDesc03:処理部隊を迎撃せよ
QLTitle:祈りの翼
QLDescriptionLong:所属不明な熱源の正体を明らかにせよ！
$Mission_DefeatEnemyTechs
msgComplete:<color=#f23d3dff>敵対勢力</color>の撃破を確認！《ミッション完了》
msgEnemySpotted:<color=#f23d3dff>敵グループ</color>を発見した！やっつけろ！
QLDescription:<color=#f23d3dff>敵勢力</color>が近くまで来ているという報告があった。こちらも迎撃に出ましょう！
QL01Fight:敵対するグループを一掃しよう
QL02Find:敵対するグループを見つけよう
QLTitle:敵対勢力がやってきた！
$Mission_DefeatEnemyTechs2
msgComplete:<color=#f23d3dff>敵ギャング</color>を叩きのめした！任務完了！
msgEnemySpotted:<color=#f23d3dff>敵ギャング</color>を発見！この地域のルールを教えてやりましょう！
QLDescription:どうやら近辺で<color=#f23d3dff>ギャングのユニット</color>が結成されたようです。被害が出る前に排除してください
QL01Fight:敵ギャングの排除
QL02Find:敵ギャングを捜索
QLTitle:ギャングの縄張り
$Mission_DefeatEnemyTechs3
QLDescription:<color=#f23d3dff>ゴロツキのユニット</color>がこの界隈をウロウロしている。奴らを掃討してください！
QL01Fight:ゴロツキを排除せよ
QL02Find:ゴロツキを捜索せよ
QLTitle:ゴロツキウロウロ
$Mission_DefeatEnemyTechs4
QLDescription:<color=#f23d3dff>Enemy Punks</color> are occupying this area. You need to take them out.
QL01Fight:不良ユニットを捜索
QL02Find:不良ユニットを討伐
QLTitle:非行ユニットたち
$Mission_DefeatEnemyTechs5
QLDescription:<color=#f23d3dff>敵グループ</color>が拠点を構えている。たたきのめせ！
QL01Fight:敵グループを撃破せよ
QL02Find:敵グループを探せ
QLTitle:徒党を組んだ賊たち
$Mission_DefeatEnemyAmbush
msgComplete:任務完了、すべての<color=#f23d3dff>伏兵</color>をやっつけた
msgApproachCrate:前方に【小包み】を発見！接近して何が入っているか見てみよう
msgEnemySpotted:気を付けろ、<color=#f23d3dff>罠</color>だ！
msgTrapSprung:ん？何の音だ？
QLFight:敵の伏兵を撃退
QLFind:配達箱を探す
QLOpen:配達箱を開封
QLTitle:特別な配達
QLDescription:特別な荷物がこの付近で放棄されてしまったようだ。発見して中身をいただいてしまおう
$Mission_DefeatEnemyAmbush2
QLFight:敵の伏兵を撃退
QLFind:Find the Delivery Crate [NEW]
QLOpen:貨物を開封する
QLTitle:特別な配達
QLDescription:特別な荷物がこの付近で放棄されてしまったようだ。発見して中身をいただいてしまおう
$Mission_DefeatEnemyAmbush3
QLFight:敵の伏兵を撃退
QLFind:Find the Delivery Crate [NEW]
QLOpen:貨物を開封する
QLTitle:宝探し
QLDescription:一度見かけた地図によると、ハワード船長という無名の宇宙海賊が財宝の入った宝箱を近くに隠したらしい。見つけられたらいいことがあるかも？
$Mission_DefeatEnemyAmbush4
QLFight:敵の伏兵を撃退
QLFind:Find the Delivery Crate [NEW]
QLOpen:貨物を開封する
QLTitle:投棄された貨物
QLDescription:事情により、宇宙貨物船から投棄されてしまった箱がこの近辺に落ちたとの報告がありました。現場に急行して回収してしまいましょう！
$Mission_DefeatEnemyAmbush5
QLFight:敵の伏兵を撃退
QLFind:怪しい荷物を捜索
QLOpen:貨物を開封する
QLTitle:怪しい荷物
QLDescription:何者かがこの近くに怪しい貨物を残して立ち去ったとの情報が入った。危険なモノが入ってないことを確かめるため、現場へ向かってください。
