$BlockNames
EXP_JointSet_1_Axle_111:创新研发科技 小型轮轴
QLDesc01:认识风速疾行公司赛车手
QLDesc02:完成时间竞赛
$Mission_GSO_4_S_HE_License
msgMissionStart:我们检测到了一个不明热源正在靠近你。检查一下周围，记得谨慎行事！
msgTechCrashing01:看啊！那是什么东西在天上？一只鸟吗？一架飞机吗？…
msgTechCrashing02:不管它是什么，它正在艰难地降落！
msgCrashedTechFound:好了，它坠毁了，但看起来大部分都完好无损。看看你能不能回收点什么东西。
msgCrashedTechBlownUp:咕嘿！真是一团糟！没什么可回收的…
msgEnemiesIncoming:呃哦！看来有人要来清理残骸。保护好自己！
QLDesc01:调查该地区
QLDesc02:接近崩溃的载具
QLDesc03:揍飞前来清理残骸的东西
QLTitle:猎-鹰
QLDescriptionLong:调查附近的不明热源。
$Mission_DefeatEnemyTechs
msgComplete:<color=#f23d3dff>敌人</color>爆炸了。任务结束！
msgEnemySpotted:发现了<color=#f23d3dff>敌人的车辆</color>。歼灭他们！
QLDescription:我们这里有份报告声称有敌对集团的<color=#f23d3dff>车辆</color> 在这附近。找到他们然后干掉他们！
QL01Fight:消灭敌人的突击车小队
QL02Find:找到敌人队伍
QLTitle:共敌
$Mission_DefeatEnemyTechs2
msgComplete:<color=#f23d3dff>敌人</color>已经被粉碎，工作已完成！
msgEnemySpotted:<color=#f23d3dff>敌人</color>就在前面，告诉他们，我们是怎么做的！
QLDescription:看起来有一帮<color=#f23d3dff>敌人</color>已经在附近的某个地方等咱们。我们应该把它们清除掉！
QL01Fight:处理敌对载具
QL02Find:寻找敌人的载具
QLTitle:黑社会
$Mission_DefeatEnemyTechs3
QLDescription:在这个地区有一些<color=#f23d3dff>流氓盗贼</color>，让我们干掉这些垃圾吧！
QL01Fight:处理流氓盗贼
QL02Find:搜寻流氓盗贼
QLTitle:流氓盗贼
$Mission_DefeatEnemyTechs4
QLDescription:<color=#f23d3dff>小混混</color>在这片地区称王称霸，上面让我拜托你去赶走他们。
QL01Fight:驱赶小混混
QL02Find:猎捕小混混
QLTitle:混吃等死
$Mission_DefeatEnemyTechs5
QLDescription:一个<color=#f23d3dff>敌人的突击小组</color>在这附近扎营了，当他们的卫兵登陆了就攻击吧。
QL01Fight:摧毁突击小组
QL02Find:搜索突击小组
QLTitle:突击突击
$Mission_DefeatEnemyAmbush
msgComplete:全部清除，<color=#f23d3dff>伏击的敌人</color>已经被消灭，让我们打开送货箱！
msgApproachCrate:看，那边有一个送货箱！让我们看看里面有什么。
msgEnemySpotted:哦不！这是一个<color=#f23d3dff>陷阱</color>！
msgTrapSprung:哼唧？那是什么声音？
QLFight:击败敌人的伏击
QLFind:找到送货箱
QLOpen:打开送货箱
QLTitle:特殊快递
QLDescription:在这个地区有一个被遗弃的送货箱。找到它并看看里面有什么。
$Mission_DefeatEnemyAmbush2
QLFight:击败敌人的伏击
QLFind:Find the Delivery Crate [NEW]
QLOpen:打开送货箱
QLTitle:开箱
QLDescription:这附近有个送货箱。找到它并拿到奖励。
$Mission_DefeatEnemyAmbush3
QLFight:击败敌人的伏击
QLFind:Find the Delivery Crate [NEW]
QLOpen:打开送货箱
QLTitle:埋藏的宝藏
QLDescription:臭名昭著的太空海盗，霍华德船长把一箱财宝埋在这附近。我曾经看过地图。看看你能不能找到它。
$Mission_DefeatEnemyAmbush4
QLFight:击败敌人的伏击
QLFind:Find the Delivery Crate [NEW]
QLOpen:打开送货箱
QLTitle:掉落的货物
QLDescription:配送运输船不得不抛弃的运送箱就在附近。他们的船负担过重所以不得不减负。他们的损失会是我们的收获——去找到那个箱子。
$Mission_DefeatEnemyAmbush5
QLFight:击败敌人的伏击
QLFind:找到可疑包裹
QLOpen:打开送货箱
QLTitle:可疑的包裹
QLDescription:有人报告说，有一个可疑的包裹在这个地区无人看管。让咱们去找到它，然后研究一下确保它没有什么可担心的。
$Mission_DefeatEnemyAmbush6
QLFight:击败敌人的伏击
QLFind:Find the Delivery Crate [NEW]
QLOpen:打开送货箱
QLTitle:丢失的箱子
QLDescription:我们有一个箱子里面装着绝密零件，那个箱子错过了交货时间，我们不能让这些零件落入他人之手，如果你能收回那个小箱子，里面的东西就是你的了，别让别人拿到那些零件。
$Mission_DefeatEnemyAmbush7
QLFight:击败敌人的伏击
QLFind:调查不明物体
QLOpen:打开送货箱
QLTitle:坠机现场
QLDescription:一个不明物体坠毁在这个位置附近。我们想让你在附近搜索一下，看看附近有什么东西。注意，那玩意可能是敌对的。
$Mission_DefeatEnemyAmbush8
QLFight:击败敌人的伏击
QLFind:Find the Delivery Crate [NEW]
QLOpen:打开送货箱
QLTitle:你有一份奖品等着你！！！
QLDescription:恭喜！你在我们的免费抽奖中被随机挑选出来了（这不是骗局）！附近有一个装有奖品的送货箱。只要到那边去解锁它就可以得到你的奖品！
$Mission_DefeatEnemyAmbush9
QLFight:击败敌人的伏击
QLFind:Find the Delivery Crate [NEW]
QLOpen:打开送货箱
QLTitle:运送送货箱
QLDescription:全新没有贴纸的运输箱，没有开过，免费。还有一年保养。本人空间不足，请自己拿。不要浪费我的时间。
$Mission_DefeatEnemyAmbush10
QLFight:击败敌对代理人
QLFind:Find the Delivery Crate [NEW]
QLOpen:打开送货箱
QLTitle:死敌
QLDescription:我们的代理人已经获得了一些需要你注意的东西。像往常一样，这些物品被隐藏在附近的一个上锁的送货箱里。打开它的密码是'奇异奶昔'。你去检查这些东西是很必要的。然而，我们也怀疑送货箱可能受到敌人的监视。虽然安全的箱子，但一定要谨慎。
$MissionCaptureEnemyBase
msgBaseCaptured01:已击倒所有<color=#f23d3dff>基地守卫</color>。恭喜你，这座<color=#81ccefff>基地</color>现在是你的了！
msgBaseCaptured02:你可以让它保持原样或拿取你想要的<color=#81ccefff>方块</color>。
msgBaseDestroyed:哦，不！你不应该破坏<color=#f23d3dff>基地</color>的！只能祝你下次好运了。
msgBaseSpotted01:你已经找到了一处<color=#f23d3dff>敌方基地</color>！看起来是可以占领的……
msgBaseSpotted02:击败所有<color=#f23d3dff>基地守卫</color>。注意不要破坏<color=#f23d3dff>基地</color>。
QLDefeatEnemies:击败所有基地守卫
QLTitle:占领敌方基地
QLDescription:该地点附近建起了一处敌方基地。在他们稳固之前占领那座基地。
$MissionCaptureEnemyBase2
QLDefeatEnemies:击败前哨基地守卫者
QLTitle:占领敌方前哨基地
QLDescription:有报告称该区域内存在敌方前哨基地。他们的守卫者载具正在骚扰当地居民。击败守卫者并占领前哨基地。
$MissionCaptureEnemyBase3
QLDefeatEnemies:击败叛军卫队
QLTitle:接管叛军的站点
QLDescription:我们正在接收一个信号，这个信号说这个地区可能有一个叛军的站点，请你去调查信号的来源，并调查一下叛军的站点，如果你能找到它的话。
$MissionCaptureEnemyBase4
QLDefeatEnemies:击败敌人的载具
QLTitle:接管敌人的基地
QLDescription:一些敌人已经在附近建立了一个基地。他们错过了最后向银河系联合国付款的期限，现在他们的基地被没收了。如果你击毁了这些敌人，你可以要求接管这个基地。
$MissionCaptureEnemyBase5
QLDefeatEnemies:攻击科技后卫者
QLTitle:接管科技后卫者基地
QLDescription:科技后卫者偷取了银河系联合国零件去附近的一个基地进行黑市交易。摧毁科技后卫者后它们的总部就是你的了。
$MissionDestroyEnemyBase
msgBaseDestroyed01:<color=#f23d3dff>敌方基地</color>已被摧毁！
msgBaseDestroyed02:为什么不趁现在从残骸中收集一些<color=#81ccefff>方块</color>呢！
msgBaseSpotted01:你已经找到了一处<color=#f23d3dff>敌方基地</color>！我不认为他们会轻易投降……
msgBaseSpotted02:拆掉基地的所有方块，摧毁这座<color=#f23d3dff>基地</color>！
QLTitle:摧毁敌方基地
QLDescription:拆掉基地的所有方块
$Mission_DefeatEnemySequential
msgComplete1:<color=#f23d3dff>敌人</color>已被摧毁。但又有敌人过来了，当心！
msgComplete2:第二轮敌人已被击败。最后一波<color=#f23d3dff>敌人</color>正在接近。
msgComplete3:敌人已全部消灭。所有<color=#f23d3dff>敌人</color>均被摧毁。
msgSpotted1:已发现<color=#f23d3dff>敌人</color>！在增援到达之前，击败它。
msgSpotted2:<color=#f23d3dff>敌人</color>增援已经到达。
msgSpotted3:这是最后一波<color=#f23d3dff>敌人</color>。
QLFight:摧毁敌人
QLFind:找到敌人
QLTitle:击败数波敌人
QLDescription:这边区域中陆续出现了几个新的敌对势力。他们充满敌意，想要占领这片土地。在他们站稳脚跟之前击败他们。
$Mission_DefeatEnemySequential2
QLFight:摧毁敌人
QLFind:找到敌人
QLTitle:摧毁敌方增援
QLDescription:一组高攻击性空投部队已出现在附近区域。在他们站稳脚跟之前，找到他们的空投区，摧毁先锋并在增援到达时将他们一网打尽。
$Mission_DefeatEnemySequential3
QLFight:摧毁敌人
QLFind:找到敌人
QLTitle:摧毁敌方后援
QLDescription:一组高攻击性空投部队已出现在附近区域。在他们站稳脚跟之前，找到他们的空投区，摧毁先锋并在增援到达时将他们一网打尽。
$Mission_DefeatEnemySequential4
msgComplete1:该<color=#f23d3dff>敌人</color>已发出警报。更多的<color=#f23d3dff>敌人</color>正在朝你的位置聚集。
msgComplete2:已击败第二波敌人。又来了一波。
msgComplete3:做的很好，已击败全部<color=#f23d3dff>敌人</color>。
msgComplete4:<color=#f23d3dff>敌人</color>已被摧毁。非常好！
msgSpotted1:击败那个<color=#f23d3dff>敌人</color>，随后击倒他的剩余部队。
msgSpotted2:注意，更多<color=#f23d3dff>敌方</color>部队正在前来。
msgSpotted3:<color=#f23d3dff>敌方载具</color>很快就会耗尽。
msgSpotted4:拜托！更多的<color=#f23d3dff>敌方</color>部队正在靠近。
QLFight:摧毁敌人
QLFind:找到敌人
QLTitle:摧毁敌方中队
QLDescription:敌方载具中队已将这片区域定位下一个侵略点。将他们的计划扼杀在摇篮里，在他们造成重大危害之前找到并摧毁他们。
$Mission_DefeatEnemySequential5
msgComplete1:那个<color=#f23d3dff>敌人</color>看起来非常自信。附近可能有其他<color=#f23d3dff>敌人</color>。
msgComplete2:哈哈！他们还以为能轻而易举地击败你。
msgComplete3:干得漂亮，<color=#f23d3dff>敌人</color>已被击败。
msgComplete4:漂亮！<color=#f23d3dff>敌人</color>已被击败。
msgComplete5:这是最后一波<color=#f23d3dff>敌人</color>。干得漂亮！
msgSpotted1:干掉他！干掉他！
msgSpotted2:有增援！更多<color=#f23d3dff>敌方</color>部队正在来的路上。
msgSpotted3:看起来你选错了对手。更多<color=#f23d3dff>敌人</color>来了。
msgSpotted4:别松懈，更多<color=#f23d3dff>敌人</color>正在靠近。
msgSpotted5:终于，这是最后一波<color=#f23d3dff>敌人</color>了。
QLFight:让敌人瘫痪
QLFind:找到敌人
QLTitle:摧毁敌方部队
QLDescription:一个敌方游击部队正在靠近这片区域。不要让他们的侦察兵建立好安全降落区，不然等他们集结完毕后会更难对付。前往他们的降落地点，在他们降落时摧毁他们。
$Mission_DestroyFleeingEnemy01
QLTitle:追上赛车
QLDescription:在限定时间内追上赛车。追上并摧毁赛车以获得奖励。如果赛车逃走或不能在规定时间内追上赛车，你将一无所获。
QLFind:找到赛车载具
QLCatchAndDestroy:摧毁赛车
msgEnemiesSpotted:它在这儿抓住并摧毁赛车载具！
msgFailedLostThem1:你需要做的只有追上那辆赛车载具！
msgFailedLostThem2:任务失败
msgFailedOutOfTime1:时间到！看上去这次是赛车赢了。
msgFailedOutOfTime2:任务失败
msgMissionComplete1:你抓住他了！干得漂亮！
msgMissionComplete2:任务完成
$Mission_DestroyFleeingEnemy02
QLTitle:赏金猎人
QLDescription:在限定时间内收集赏金。目标偷了我们的东西。我们要让他立刻受到惩罚。追上并摧毁目标以获得奖励。如果目标逃走或不能在规定时间内追上它，你将一无所获。
QLFind:找到目标载具
QLCatchAndDestroy:摧毁目标
$Mission_DestroyFleeingEnemy03
QLTitle:姜饼人
QLDescription:一位外号为“姜饼人”的重犯被发现出现在这片区域。找到并干掉他。动作要快。如果时间耗尽，你将一无所获。
QLFind:找到姜饼人
QLCatchAndDestroy:摧毁姜饼人
$Mission_DestroyFleeingEnemy04
QLTitle:有一个逃跑者
QLDescription:该载具买了我们的方块不给钱。在限定时间内追上并摧毁它。
QLFind:找到逃跑者
QLCatchAndDestroy:摧毁逃跑者
$Mission_DestroyFleeingEnemy05
QLTitle:逃犯
QLDescription:在该区域发现一名逃犯。他偷走了某人的载具并潜逃。在限定时间内找到他并截停他的载具。
QLFind:找到该逃犯。
QLCatchAndDestroy:摧毁逃犯
$Mission_DestroyFleeingEnemy06
QLTitle:有本事就抓住我
QLDescription:你认为自己很快？看看你能否追上我们的冠军。试试吧。如果你能在限定时间内追上我们的冠军并摧毁他的驾驶室，就会收到一份奖励。*咳咳*……然后你将变成新任冠军……*咳咳*，那是什么？没什么，去追赶我们的冠军吧！已经出发了！
QLFind:找到冠军
QLCatchAndDestroy:摧毁冠军
$Mission_DestroyFleeingEnemy07
QLTitle:保持住
QLDescription:嘿，慢吞吞！看看你能否在限定时间内赶上我！做到就有奖赏！来吧，出发！
QLFind:找到赛车
QLCatchAndDestroy:摧毁赛车
$Mission_DestroyFleeingEnemy08
QLTitle:停下！小偷！
QLDescription:某个卑鄙的小偷在这里偷了大家的东西。他走不远。在限定时间内找到他，给他个教训。
QLFind:找到小偷
QLCatchAndDestroy:摧毁小偷
$Mission_DestroyFleeingEnemy09
QLTitle:兜风者
QLDescription:我最快的一辆载具被孩子偷走了。我们需要你追上他，给他们个教训。追上并会换载具，吓吓他们。但你一定要快。如果拖得太久，他们就会惹出更大的麻烦。
QLFind:找到兜风者
QLCatchAndDestroy:毁坏兜风者
$Mission_DestroyFleeingEnemy10
QLTitle:捉住间谍
QLDescription:敌方间谍偷走了我们机构的某些机密。她走不远。在她转移数据前追上她并摧毁她的载具。
QLFind:找到间谍
QLCatchAndDestroy:摧毁间谍
$Mission_FindDeliveryCrate_GSO
QLTitle:空投物资
QLDescription:附近区域侦测到了一个无人认领的送货箱。先到先得，这是规矩！当然，竞争在所难免……
QL01:进入任务区域
QL02:Find the Delivery Crate [NEW]
QL03:击败敌对勘探者
QL04:打开送货箱
msgEnteringArea:送货箱就在这片区域的某处，但你要赶在其他人之前找到它……
msgEnemyLanding:太晚了！有一位敌对勘探者正在接近货箱。你需要先击败他。
msgEnemyDestroyed:敌人已击倒。现在去收集货箱吧！
msgCrateUnlocked:你赶在其他人之前找到了货箱。享受属于自己的宝物吧！
$Mission_FindDeliveryCrate_GC
QLTitle:被遗弃的工具箱
QLDescription:一辆深空联合矿业载具在前往采矿时，将自己的工具箱落在了这里。你可以将其中的东西占为己有……但要赶在失主回来之前！
QL01:进入任务区域
QL02:找到工具箱
QL03:击败返回的载具
QL04:打开工具箱
msgEnteringArea:送货箱就在这片区域的某处，但你要赶在失主之前找到它……
msgEnemyLanding:太晚了！失主已经返回，看上去很愤怒！做好战斗准备！
msgEnemyDestroyed:看起来你获得了胜利！工具箱现在是你的了。
msgCrateUnlocked:看起来失主还没有回来。去吧，里面的东西都是你的了！
$Mission_FindDeliveryCrate_VEN
QLTitle:诡计之箱
QLDescription:附近发现了一个装有风速疾行公司零件的工具箱。它怎么会出现在这里？谁知道呢！如果你动作够迅速，就能将其归为己有。
QL01:进入任务区域
QL02:找到工具箱
QL03:击败敌方载具
QL04:打开工具箱
msgEnteringArea:工具箱就在这片区域的某处，但你一定要快……
msgEnemyLanding:太晚了！另一辆载具先你一步发现了工具箱。如果你能将其击败，工具箱就还是你的……
msgEnemyDestroyed:敌人已击倒。现在去收集工具箱吧！
msgCrateUnlocked:你赶在其他人之前找到了工具箱。享受属于自己的宝物吧！
$Mission_FindDeliveryCrate_HE
QLTitle:丢失的行李
QLDescription:一件从货运飞机上掉落下来的行李箱落在了附近。如果你能找到它，你就可以打开它……前提是你是第一个找到的。
QL01:进入任务区域
QL02:找到行李箱
QL03:击败敌方载具
QL04:打开行李箱
msgEnteringArea:送货箱就在这片区域的某处，但你要赶在其他人之前找到它……
msgEnemyLanding:太晚了！一辆载具正在申请打开行李箱。你需要先击败他。
msgEnemyDestroyed:敌人已击倒。现在去收集货箱吧！
msgCrateUnlocked:你赶在其他人之前找到了货箱。享受属于自己的宝物吧！
$GC_Harvesting_Missions
QLTitleGrade1Harvesting01:新手收割机 I
QLDescGrade1Harvesting01:砍树
QLLongDescGrade1Harvesting01:这个区域已经被标记为采石场，深空联合矿业希望你砍下一些树来以便清理这个区域。如果这些东西对你有用，你可以留着。
QLTitleGrade1Harvesting02:新手收割机 II
QLDescGrade1Harvesting02:清理石头
QLLongDescGrade1Harvesting02:深空联合矿业在这个区域进行地质调查，需要你去分解附近的岩石，以帮助确定可以找到什么样的资源。如果你愿意，你可以保留任何你发现的东西。
QLTitleGrade1Harvesting03:新手收割机 III
QLDescGrade1Harvesting03:变卖资源
QLLongDescGrade1Harvesting03:自从应多莉西亚国家声明进入一段基础建设发展时期，资源市场就一直在增长。深空联合矿业需要你在一个交易站收集和销售尽可能多的资源块，以帮助满足新的需求。他们将会奖励你的。
QLTitleGrade2HarvestingOre01:铁矿采掘机
QLDescGrade2HarvestingOre01:采掘铁矿
QLLongDescGrade2HarvestingOre01:铁矿！土库拉斯金的新命令是升级他们带着银河系联合国大炮的整个海军。深空联合矿业想把铅矿卖给他们。深空联合矿业将奖励任何能找到铁矿富集区的勘探者。找到它，砸开石头。深空联合矿业将会在你收集到东西后派出无人机勘探其它矿点裂隙，你能保有你收集到的物块。
QLTitleGrade2HarvestingOre02:镉酸采掘机
QLDescGrade2HarvestingOre02:采掘镉酸
QLLongDescGrade2HarvestingOre02:新伊甸统合部最近宣布进入世界矿业。他们还没有公布公司涉及的物块范畴，但你打赌他们将涉足电业。 深空联合矿业 正在增加镉瑛储备。他们将奖励任何发现镉瑛的勘探者。帮助深空联合矿业标记矿物地点，而你可以保存所获物块。
QLTitleGrade2HarvestingOre03:钛矿采掘机
QLDescGrade2HarvestingOre03:采掘钛矿
QLLongDescGrade2HarvestingOre03:深空联合矿业希望在下个季度加快生产他们的“大男孩”轮胎。为了实现这一目标，他们需要更多的原始的钛矿。如果你能在表面发现钛矿的矿点裂隙，他们会奖励你。你可以保留钛矿而他们则正在寻找最好的方法来开始他们的冶金水力压裂计划。
QLTitleGrade2HarvestingOre04:煤矿采掘机
QLDescGrade2HarvestingOre04:采掘煤矿
QLLongDescGrade2HarvestingOre04:深空联合矿业希望研究一种新型爆炸物。找到一些煤矿矿石裂隙，砸碎矿石。深空联合矿业会在你前进的时候注意到你的位置。
QLTitleGrade2HarvestingShards01:氖瑛采掘机
QLDescGrade2HarvestingShards01:采掘氖瑛
QLLongDescGrade2HarvestingShards01:光明节即将到来，深空联合矿业需要去定位尽可能多的氖瑛。发现并且打碎氖瑛来获得报酬。
QLTitleGrade2HarvestingShards02:铌晶采掘机
QLDescGrade2HarvestingShards02:采掘铌晶
QLLongDescGrade2HarvestingShards02:深空联合矿业宣布计划建造一个名为“坩埚”的大型离子激光采矿卫星接收站。他们说，它将能够在一次爆炸中蒸发整个行星，释放出宝贵的资源。对于这个项目，他们需要大量的燃烧能量。找到铌瑛并把它们打碎。深空联合矿业将会注意到这些地点，并开始深入挖掘这些地区。你可以保留你收集的物块。
QLTitleGrade2HarvestingShards03:博瑛采掘机
QLDescGrade2HarvestingShards03:采掘博瑛
QLLongDescGrade2HarvestingShards03:自由无人机团正在为了他们的一个秘密项目收购到所有能够收集到的博瑛。谁知道他们的计划是什么呢。但是深空联合矿业想在阳光灿烂的时候赚钱。找到博瑛并把它们粉碎。深空联合矿业将跟踪地点并开始深入采矿作业。你可以保持收集到的物块。
QLTitleGrade2HarvestingShards04:镁瑛采掘机
QLDescGrade2HarvestingShards04:采掘镁瑛
QLLongDescGrade2HarvestingShards04:深空联合矿业想让你清除尽可能多的镁瑛。这些恼人的浮动碎片干扰了他们的地质测量设备。把它们敲得出来。
QLTitleGrade2HarvestingJelly01:木胶收割机
QLDescGrade2HarvestingJelly01:采集木胶
QLLongDescGrade2HarvestingJelly01:深空联合矿业正在测量世界各地的外来树木的木胶产量。他们需要你减少树木的样本选择，他们将追踪木胶产量，以帮助收集关于木胶农业最好的地方的数据。
QLTitleGrade2HarvestingJelly02:赤油采集机
QLDescGrade2HarvestingJelly02:采集赤油
QLLongDescGrade2HarvestingJelly02:有传言说，最近赤油的减少是由于他们的主要井正在干涸。不管怎样，市场目前都在抢购赤油，而深空联合矿业希望找到最富赤油的地区来进行大型钻探活动。找到赤油岩并把岩打开。深空联合矿业会跟踪你的数据，并奖励你。
QLTitleGrade3Harvesting01:大师级收割机 I
QLDescGrade3Harvesting01:砍树
QLLongDescGrade3Harvesting01:计划在这一地区进行另一个采石场。深空联合矿业将奖励那些清理他们的树木配额的勘探者。把它们敲得稀巴烂！
QLTitleGrade3Harvesting02:大师级收割机 II
QLDescGrade3Harvesting02:清理石头
QLLongDescGrade3Harvesting02:深空联合矿业正在对这一地区进行另一项全面的调查。他们需要你打破这个区域的岩石，这样他们就能标记内容，并确定下一个挖掘地点应该在哪里。
QLTitleGrade3Harvesting03:大师级收割机 III
QLDescGrade3Harvesting03:精炼资源
QLLongDescGrade3Harvesting03:深空联合矿业推出了一个精炼效率项目。这是一个关于勘探者如何改进他们的资源区块的任务，以确定最佳实践和提高市场上的资源样本质量。他们要求所有的勘探者在深空联合矿业监测他们的过程时对其进行精细化。
QLTitleGrade3Harvesting04:大师级收割机 IV
QLDescGrade3Harvesting04:变卖资源
QLLongDescGrade3Harvesting04:由于蓝矮星采矿船失去了猎户座的矿物产出，地球资源市场一直处于亏损状态，引发了一场大危机。深空联合矿业需要你卖出尽可能多的块来填补空白。他们会奖励你的。
msgCompleteGrade1Harvesting01:新手收割机 I 任务完成！
msgCompleteGrade1Harvesting02:新手收割机 II 任务完成！
msgCompleteGrade1Harvesting03:新手收割机 III 任务完成！
msgCompleteGrade2HarvestingOre01:铁矿采掘机 任务完成！
msgCompleteGrade2HarvestingOre02:镉瑛采掘机 任务完成！
msgCompleteGrade2HarvestingOre03:钛矿采掘机 任务完成！
msgCompleteGrade2HarvestingOre04:煤矿采掘机 任务完成！
msgCompleteGrade2HarvestingShards01:氖瑛采掘机 任务完成！
msgCompleteGrade2HarvestingShards02:铌瑛采掘机 任务完成！
msgCompleteGrade2HarvestingShards03:博瑛采掘机 任务完成！
msgCompleteGrade2HarvestingShards04:镁瑛采掘机 任务完成！
msgCompleteGrade2HarvestingJelly01:橡胶收割机 任务完成！
msgCompleteGrade2HarvestingJelly02:赤油采集机 任务完成！
msgCompleteGrade3Harvesting01:大师级收割机 I 任务完成！
msgCompleteGrade3Harvesting02:大师级收割机 II 任务完成！
msgCompleteGrade3Harvesting03:大师级收割机 III 任务完成！
msgCompleteGrade3Harvesting04:大师级收割机 IV 任务完成！
$GSO2CraftingTutorial01
msgIntro:嘿，看看谁回来了…
msgBaseFound01:很高兴再次见到你，哥们。
msgBaseFound02:这里是你的老朋友，<color=#81ccefff>制造者迈克</color>！
msgBaseFound03:我的<color=#81ccefff>基地</color>又出了一点意外。
msgAttachReceiver:也许你可以再帮我连接一下<color=#81ccefff>接收器</color>？
msgReceiverAttached01:谢了老兄，现在我可以再次使用这个<color=#81ccefff>筒仓</color>了！
msgReceiverAttached02:小心头顶！
msgSiloExplanation01:什么？你不知道？…
msgSiloExplanation02:<color=#81ccefff>筒仓</color>可以容纳一吨的资源块！
msgAttachConveyors:去吧，把剩下的<color=#81ccefff>传送带</color>也组装好。
msgConveyorsAttached01:但是你知道的…我要告诉你个小秘密…
msgConveyorsAttached02:那些<color=#81ccefff>交易站</color>…他们完全是敲诈！
msgConveyorsAttached03:所以，我找到了一个自己做<color=#81ccefff>零件</color>的方法…
msgConveyorsAttached04:特殊服务来了！小心你的头顶…
msgFabricatorSpawned01:看，<color=#81ccefff>合成器</color>！
msgFabricatorSpawned02:当然，我会让你为我做一些东西…
msgFabricatorSpawned03:嗯…我的意思是，为什么不让我告诉你如何使用它？
msgAttachFabricator:把<color=#81ccefff>合成器</color>放在<color=#81ccefff>传送带</color>的末端，可以吗？
msgOpenMenu:好的！现在<color=#81ccefff>右键</color>使用<color=#81ccefff>合成器</color>。
msgOpenMenu_Pad:太棒了！现在按下{key:0}，然后指向<color=#81ccefff>合成台</color>并按下{key:1}。
msgCraftBlock:选择<color=#81ccefff>银河系联合国单方块</color>，然后点击<color=#81ccefff>制造</color>按钮。
msgCraftBlock_Pad:用{key:0}选择<color=#81ccefff>银河系联合国单方块</color>然后按下{key:1}来制造它。
msgCraftingInProgress:<color=#81ccefff>合成器</color>会自动把资源从<color=#81ccefff>筒仓</color>取出资源块来制造你想做的<color=#81ccefff>零件</color>。
msgTutorialComplete01:好了，老兄！
msgTutorialComplete02:你为什么不在这儿再做一会儿零件呢？…
msgTutorialComplete03:我还有一些其他的“生意”要先处理。
msgTutorialComplete04:再见，老兄。
msgTutorialComplete05:任务完成
msgBlockOutsideArea:嘿！你想把那个零件拿去哪里，老兄？
msgLeavingMissionArea:下次见，老兄。
QLTitle:工业制造II
QLDescriptionLong:制造者迈克在附近某处建立了一个新基地。找到他，听听他要说什么。
QLDesc01:寻找制造者迈克
QLDesc02:重建迈克的基地
QLDesc03:制造一个零件
$GSO2CraftingTutorial02
msgIntro:嘘… 在这里，老兄…
msgBaseFound01:怎么了，老兄！
msgBaseFound02:<color=#81ccefff>制造者迈克</color>是我的名字…
msgBaseFound03:…今天是你的幸运日！
msgBaseFound04:我的<color=#81ccefff>基地</color>遭到了攻击…
msgBaseFound05:…你得去帮忙修理！
msgAttachConveyors:我的朋友，请帮我把那些<color=#81ccefff>传送带</color>连接到投送炮上面。
msgConveyorsAttached01:我想自己做来着，但是你看…
msgConveyorsAttached02:…我不能像以前那样自由地活动身体了！
msgAttachReceiver:把<color=#81ccefff>接收器</color>放在<color=#81ccefff>传送带</color>的末端，可以吗老兄？
msgReceiverAttached01:做的很好！
msgReceiverAttached02:想像一下我可以通过卖资源块获得的<color=#81ccefff>财富</color>！
msgReceiverAttached03:小心头顶！
msgUnrefinedChunksSold01:什么？哦，好的，嗯嗯。我将与你分享利润…
msgUnrefinedChunksSold02:别抱怨了，天哪！
msgUnrefinedChunksSold03:但是你要知道…
msgUnrefinedChunksSold04:…这里有个办法能赚 更多 的钱！
msgUnrefinedChunksSold05:我告诉你个小秘密…
msgUnrefinedChunksSold06:特殊服务来了！小心你的头顶。…
msgRefinerySpawned:介绍一下，这个是<color=#81ccefff>精炼器</color>！
msgAttachRefinery:好的老兄，把<color=#81ccefff>精炼器</color>放在<color=#81ccefff>传送带</color>的侧面。
msgRefineryAttached01:做得很好！
msgRefineryAttached02:<color=#81ccefff>精炼器</color>会把粗糙的矿物精炼成一些闪闪的矿物…
msgRefineryAttached03:…出售的价格也会更高！来看看吧…
msgTutorialComplete01:你的工作做得不错，老兄！
msgTutorialComplete02:也许我会让你暂时照看我的<color=#81ccefff>基地</color>…
msgTutorialComplete03:当然，我还有一些……“差事”要办。再见，老兄。
msgTutorialComplete04:任务完成
msgBlockOutsideArea:嘿！你想把那个<color=#81ccefff>零件</color>拿去哪里，老兄？
msgLeavingMissionArea:好吧，回见，老兄。
QLTitle:工业制造
QLDescriptionLong:有个家伙自称叫制造者迈克，他需要你帮他重组他的基地。找到他然后帮他一下。
QLDesc01:寻找制造者迈克
QLDesc02:组装传送带
QLDesc03:装载接收器
QLDesc04:装配精炼器
QLDesc05:出售精炼后的矿石
$GSO2CraftingTutorial03
msgIntro:孩子，你在哪里？
msgBaseFound01:喂这里！
msgBaseFound02:又来看老<color=#81ccefff>制造者迈克</color>了吗，是吗？
msgBaseFound03:你运气真好！我正在处理一个新项目…
msgBaseFound04:…我知道你有多喜欢帮助你的老朋友！
msgAttachFilter:也许你可以把<color=#81ccefff>过滤器</color>装在我的<color=#81ccefff>基地</color>上。
