$BlockNames
EXP_JointSet_1_Axle_111:新研科技 小型輪軸
QL03:依靠賣資源來賺取¥¥
QL04:檢查任務板
$GSO1S3RadarPt1
Msg2TechHasBlock1:哦！那個鬼鬼祟祟的<color=#f23d3dff>小偷</color>拿了你的<color=#81ccefff>雷達</color>！攻擊！
QL1FindRetriveRadar:找到你的雷達
QL3AttackTheThief:攻擊小偷
QL5AttachRadar:把雷達連接到載具
QLMissionTitle:雷達
QLDescriptionLong:你的雷達在緊急著陸的時候被彈射出去了。我們找到了它，但是我們掃描到另一個非常近的載具信號。
$GSO1S3RadarPt2
Msg8RadarAttached1:好的，<color=#81ccefff>雷達</color>在你的顯示器上增加了一個<color=#81ccefff>小地圖</color>。
Msg5PickUpRadar1:他扔掉了你的<color=#81ccefff>雷達</color>！拿起雷達然後裝到你的<color=#81ccefff>載具</color>上。
$GSOFTUEReminderPointers
MsgSolarGenA:那個煙柱可能是你的<color=#81ccefff>基地展開包</color>的一部分。
MsgSolarGenB:你看看能不能找到一些東西來修復受損的<color=#81ccefff>駕駛室</color>。
$Mission_DefendFriendlyTech
msgDistressSignal:一個友好的 <color=#81ccefff>技術員</color> 正在附近發送求救信號。快去幫幫他。
msgFriendlyTechFound:幫幫我！我受到了攻擊！你得幫幫我！
msgLeavingMissionArea:警告！您正在離開任務區域。如果堅持要離開，任務將會失敗。
msgMissionFailedDistance1:啊！那 <color=#81ccefff>技術員</color> 需要你的幫助，但你卻離開了他。任務失敗。
msgMissionFailedDistance2:任務失敗
msgMissionFailedDeath1:嗯哼！ <color=#81ccefff>技術員</color> 需要你的幫助，卻讓他們毀了他。任務失敗。
msgMissionFailedDeath2:任務失敗
msgMissionComplete1:謝謝你救了我！我現在就加入你的行列。
msgMissionComplete2:任務完成
msgEnemiesIncoming:一群 <color=#f23d3dff>地痞</color> 即將到來。準備防禦。
msgEnemiesGivingUp:你已經給這些 <color=#f23d3dff>小流氓</color> 上了一課。他們已經取消了增援部隊。
QLDefend:在攻擊中保護好技術員。
QLTitle:一波地痞
QLDescription:地痞已經瞄上了附近的友好技術員。他們的攻擊很快就會落實。趕快去救那個技術員！一旦攻擊開始，地痞們類似潑了雞血般不計代價地攻擊一段時間。在這段時間內保護好技術員。
$Mission_DefendFriendlyTech2
QLDefend:在攻擊中保護好技術員。
QLTitle:強盜與圍攻
QLDescription:一群強盜威脅了附近的盟友載具。如果你保護了這個盟友，他可能加入你的團隊。但你要知道，強盜們一旦開始攻擊，就會不停的派遣載具攻擊你。在高強度持續的攻擊下有可能難以倖存。
$Mission_DefendFriendlyTech3
QLDefend:在攻擊中保護好技術員。
QLTitle:閃電式攻擊
QLDescription:最近，一群壞蛋在這附近閃電式攻擊友好的技術員。我們截獲了他們的信息，知道了他們下一個攻擊目標是誰。快去保護那個技術員。
$Mission_DefendFriendlyTech4
QLDefend:在攻擊中保護好技術員。
QLTitle:敵軍前來
QLDescription:一個敵軍野戰排發現了我們本地的一個技術員。他們正從其地點上空落下並試圖帶走技術員。他們的攻擊只能持續一段時間。到那邊去在攻擊中保護好目標。如果你成功了，將會有一定回報的。
$Mission_DefendFriendlyTech5
QLDefend:在攻擊中保護好技術員。
QLTitle:狩獵行動
QLDescription:一個友方戰俘技術員已經從敵人手中逃脫，現在就在在這一地區。敵人正在追捕他。戰俘手中的敵人信息可能對我們的事業至關重要。找到那個戰俘，防止他被重新抓獲。敵人只會在短時間內將力量投入到重奪中。在攻擊中倖存，並確保那個戰俘存活。
$Mission_GSO_2_TradingStationSCU
msgDefeatEnemies01:*嗶-嗞嗞嗞*敵人檢測中-必須-貿易站-保衛-……
msgDefeatEnemies02:一個AI砲塔似乎出現了故障！
msgDefeatEnemies03:解決掉其他砲塔，你也許能控制這個砲塔…
msgEnemiesDefeated01:*嗶-嗞嗞嗞*敵人被消滅…
msgEnemiesDefeated02:*嗶-嗞嗞嗞*睡覺…*嗶-嗞嗞嗞*
msgTurretIdle01:看起來砲塔在等待什麼新的命令。
msgTurretIdle02:你為什麼不試著使用它來保護這個交易站呢？
msgOpenAIMenu:單擊並按住<color=#81ccefff>鼠標右鍵</color>在砲塔上調出<color=#81ccefff>AI菜單</color>
msgOpenAIMenu_Pad1:按下{key:0}以開啟<color=#81ccefff>目標標線</color>.
msgOpenAIMenu_Pad2:指向這個砲塔並按下{key:0}以開啟 <color=#81ccefff>人工智能菜單</color>。
msgSelectGuard:將鼠標放在“警戒”按鈕上並釋放鼠標右鍵。
msgSelectGuard_Pad:通過{key:0}選擇守衛然後按下{key:1}。
msgTurretOrdered01:*嗶-嗞嗞嗞*命令更新。分區完成。
msgTurretOrdered02:正在激活交易站的SCU模塊
msgSCUEnabled01:看起來你交了一個新朋友！
msgSCUEnabled02:現在，貿易站已提供SCU存儲設備。
msgSCUEnabled03:奇點收納裝置會把未安裝的零件吸到你的庫存裡。
msgOpenInventory:通過建造模式或者按物件庫按鈕來打開你的物件庫清單
msgOpenInventory_Pad1:若需進入<color=#81ccefff>物件庫</color>，需先按下{key:0}以打開<color=#81ccefff>建築模式</color>。
msgOpenInventory_Pad2:現在按下{key:0}開啟<color=#81ccefff>物件庫</color>。
msgMissionComplete01:你可以在任何時候打開物件庫清單拿零件，在裝配載具時非常有用！
msgMissionComplete02:既然來了，為什麼不看看這個交易站有什麼新的任務和零件呢？
QLTitle:保護砲塔
QLDescriptionLong:我們得到消息，對手的防禦砲塔在附近的一個貿易站造成了我們的勘探者的騷動。去那邊找到他們在保護什麼。
QLDesc01:旅行去貿易站
QLDesc02:擊毀敵人砲塔
QLDesc03:掌控砲塔守衛交易站
QLDesc04:打開你的物件庫
$Mission_GSO_2_S_GC_License
QLTitle:黃色巨獸
QLDesc:重礦工業採礦公司關注到了你的活動。他們要求你追踪並摧毀一個流氓特工：“大燃燒器”，他把公司的一些工具偷走了。公司會提供重礦工業 1級許可證作為你的獎勵。
QLFindAndDestroy:發現並摧毀 大燃燒器
msgEnemySpotted:你發現了大燃燒器！摧毀他。
QLDescriptionLong:有一個重礦工業採礦車在這片地區請求援助。找到它，看看你能幫什麼忙。
QLDesc01:找到重礦工業採礦車
QLDesc02:給皮特吔資源塊
msgIntro01:吼吼！在這裡！
msgIntro02:你好，我的好朋友！
msgIntro03:我叫<color=#81ccefff>大皮特</color>，是這個星球上最著名最勤勞的礦工。
msgIntro04:為什麼我懶洋洋的在這裡？嗯，我只是*哦*…
msgIntro05:啊，是啊，我只是想有一個應得的休息，嗯，沒毛病，吼吼！
msgIntro06:我是說，看起來你可以用一些老式的體力勞動來使你枯燥的日子變得有點樂趣！
msgIntro07:為什麼不去收集一些<color=#81ccefff>資源塊</color>，然後給我帶回來呢？任何<color=#81ccefff>資源塊</color>都可以。
msgIntro08:我也會給你點東西的！吼吼！
msgConsumingStarted:這是個很好的開始，但我還需要更多！
msgConsumingHalfway:繼續繼續！我還需要一些，吼吼！
msgComplete01:好了，這些就足夠了！
msgComplete02:漂亮！這是就是我今天的任務指標。
msgComplete03:又一天辛苦的工作完成了，真誠的感謝你。
msgComplete04:你知道，我們的採礦公司可以委任像你這樣的人，所以就這樣了，這是你的報酬…
msgComplete05:你自己的<color=#81ccefff>重礦工業許可證</color>！歡迎入夥，再見！
msgLeavingMissionArea:要走了嗎？快點回來哦！吼吼
$Mission_GSO_3_S_VEN_License
QLTitle:與時間賽跑
QLDesc:速限公司公司投下了他們的一個跑車來評估你的駕駛技巧。把你的腳放在油門上踩到底後獲得你的速限公司科技許可證！
msgIntro01:轟轟！過來，菜鳥！
msgIntro02:啊哈，我們終於見面了！
msgIntro03:你問我是誰？我是 <color=#81ccefff>蘇絲</color> ，<color=#81ccefff>風險</color> 的王牌！
msgIntro04:(什麼？ 您從來沒有聽說過我們嗎？)
msgIntro05:算了吧，我在這裡的原因是來評估你的駕駛技巧。
msgIntro06:不如來一個 <color=#81ccefff>時間競賽</color> 吧。
msgIntro07:如果你通過這個測試，你可以贏得 <color=#81ccefff>速限公司許可證</color> ！
msgIntro08:(你要知道，不是每個人都可以像這樣"贏"它的。)
msgStartRace:當你準備好的時候，進入閘門吧。
msgRaceStarted:衝吧！
msgRaceStartedEarly:衝吧！ 讓熱血沸騰的你衝到終點線去！
msgHalfwayRound:還有半圈左右！ 繼續衝啊！
msgOutOfBounds:呃哦，您衝出賽道了。回來再試一次吧。
msgOutOfTime:時間結束！ 回來再試一次吧。
msgComplete01:做得很好！ 對一個菜鳥來說不錯！ (當然是說你)
msgComplete02:這是給你的，<color=#81ccefff>速限公司許可證</color> ！ 希望會再見吧！
QLDesc01:認識速限公司賽車手
QLDesc02:完成時間競賽
$Mission_GSO_4_S_HE_License
msgMissionStart:我們檢測到了一個不明熱源正在靠近你。檢查一下周圍，記得謹慎行事！
msgTechCrashing01:看啊！那是什麼東西在天上？一隻鳥嗎？一架飛機嗎？ …
msgTechCrashing02:不管它是什麼，它正在艱難地降落！
msgCrashedTechFound:好了，它墜毀了，但看起來大部分都完好無損。看看你能不能回收點什麼東西。
msgCrashedTechBlownUp:咕嘿！真是一團糟！沒什麼可回收的…
msgEnemiesIncoming:呃哦！看來有人要來清理殘骸。保護好自己！
QLDesc01:調查該地區
QLDesc02:接近崩潰的載具
QLDesc03:揍飛前來清理殘骸的東西
QLTitle:獵-鷹
QLDescriptionLong:調查附近的不明熱源。
$Mission_DefeatEnemyTechs
msgComplete:<color=#f23d3dff>敵人</color>爆炸了。任務結束！
msgEnemySpotted:發現了<color=#f23d3dff>敵人的車輛</color>。殲滅他們！
QLDescription:我們這裡有份報告聲稱有敵對集團的<color=#f23d3dff>車輛</color> 在這附近。找到他們然後乾掉他們！
QL01Fight:消滅敵人的突擊車小隊
QL02Find:找到敵人隊伍
QLTitle:共敵
$Mission_DefeatEnemyTechs2
msgComplete:<color=#f23d3dff>敵人</color>已經被粉碎，工作已完成！
msgEnemySpotted:<color=#f23d3dff>敵人</color>就在前面，告訴他們，我們是怎麼做的！
QLDescription:看起來有一幫<color=#f23d3dff>敵人</color>已經在附近的某個地方等咱們。我們應該把它們清除掉！
QL01Fight:處理敵對載具
QL02Find:尋找敵人的載具
QLTitle:黑社會
$Mission_DefeatEnemyTechs3
QLDescription:在這個地區有一些<color=#f23d3dff>流氓盜賊</color>，讓我們幹掉這些垃圾吧！
QL01Fight:處理流氓盜賊
QL02Find:搜尋流氓盜賊
QLTitle:流氓盜賊
$Mission_DefeatEnemyTechs4
QLDescription:<color=#f23d3dff>小混混</color>在這片地區稱王稱霸，上面讓我拜託你去趕走他們。
QL01Fight:驅趕小混混
QL02Find:獵捕小混混
QLTitle:混吃等死
$Mission_DefeatEnemyTechs5
QLDescription:一個<color=#f23d3dff>敵人的突擊小組</color>在這附近紮營了，當他們的衛兵登陸了就攻擊吧。
QL01Fight:摧毀突擊小組
QL02Find:搜索突擊小組
QLTitle:突擊突擊
$Mission_DefeatEnemyAmbush
msgComplete:全部清除，<color=#f23d3dff>伏擊的敵人</color>已經被消滅，讓我們打開送貨箱！
msgApproachCrate:看，那邊有一個送貨箱！讓我們看看裡面有什麼。
msgEnemySpotted:哦不！這是一個<color=#f23d3dff>陷阱</color>！
msgTrapSprung:哼唧？那是什麼聲音？
QLFight:擊敗敵人的伏擊
QLFind:找到送貨箱
QLOpen:打開送貨箱
QLTitle:特殊快遞
QLDescription:在這個地區有一個被遺棄的送貨箱。找到它並看看裡面有什麼。
$Mission_DefeatEnemyAmbush2
QLFight:擊敗敵人的伏擊
QLFind:Find the Delivery Crate [NEW]
QLOpen:打開送貨箱
QLTitle:開箱
QLDescription:這附近有個送貨箱。找到它並拿到獎勵。
$Mission_DefeatEnemyAmbush3
QLFight:擊敗敵人的伏擊
QLFind:Find the Delivery Crate [NEW]
QLOpen:打開送貨箱
QLTitle:埋藏的寶藏
QLDescription:臭名昭著的太空海盜，霍華德船長把一箱財寶埋在這附近。我曾經看過地圖。看看你能不能找到它。
$Mission_DefeatEnemyAmbush4
QLFight:擊敗敵人的伏擊
QLFind:Find the Delivery Crate [NEW]
QLOpen:打開送貨箱
QLTitle:掉落的貨物
QLDescription:配送運輸船不得不拋棄的運送箱就在附近。他們的船負擔過重所以不得不減負。他們的損失會是我們的收穫——去找到那個箱子。
$Mission_DefeatEnemyAmbush5
QLFight:擊敗敵人的伏擊
QLFind:找到可疑包裹
QLOpen:打開送貨箱
QLTitle:可疑的包裹
QLDescription:有人報告說，有一個可疑的包裹在這個地區無人看管。讓咱們去找到它，然後研究一下確保它沒有什麼可擔心的。
$Mission_DefeatEnemyAmbush6
QLFight:擊敗敵人的伏擊
QLFind:Find the Delivery Crate [NEW]
QLOpen:打開送貨箱
QLTitle:丟失的箱子
QLDescription:我們有一個箱子裡面裝著絕密零件，那個箱子錯過了交貨時間，我們不能讓這些零件落入他人之手，如果你能收回那個小箱子，裡面的東西就是你的了，別讓別人拿到那些零件。
$Mission_DefeatEnemyAmbush7
QLFight:擊敗敵人的伏擊
QLFind:調查不明物體
QLOpen:打開送貨箱
QLTitle:墜機現場
QLDescription:一個不明物體墜毀在這個位置附近。我們想讓你在附近搜索一下，看看附近有什麼東西。注意，那玩意可能是敵對的。
$Mission_DefeatEnemyAmbush8
QLFight:擊敗敵人的伏擊
QLFind:Find the Delivery Crate [NEW]
QLOpen:打開送貨箱
QLTitle:你有一份獎品等著你！ ！ ！
QLDescription:恭喜！你在我們的免費抽獎中被隨機挑選出來了（這不是騙局）！附近有一個裝有獎品的送貨箱。只要到那邊去解鎖它就可以得到你的獎品！
$Mission_DefeatEnemyAmbush9
QLFight:擊敗敵人的伏擊
QLFind:Find the Delivery Crate [NEW]
QLOpen:打開送貨箱
QLTitle:運送送貨箱
QLDescription:全新沒有貼紙的運輸箱，沒有開過，免費。還有一年保養。本人空間不足，請自己拿。不要浪費我的時間。
$Mission_DefeatEnemyAmbush10
QLFight:擊敗敵對代理人
QLFind:Find the Delivery Crate [NEW]
QLOpen:打開送貨箱
QLTitle:死敵
QLDescription:我們的代理人已經獲得了一些需要你注意的東西。像往常一樣，這些物品被隱藏在附近的一個上鎖的送貨箱裡。打開它的密碼是'奇異奶昔'。你去檢查這些東西是很必要的。然而，我們也懷疑送貨箱可能受到敵人的監視。雖然安全的箱子，但一定要謹慎。
$MissionCaptureEnemyBase
msgBaseCaptured01:已擊倒所有<color=#f23d3dff>基地守衛</color>。恭喜你，這座<color=#81ccefff>基地</color>現在是你的了！
msgBaseCaptured02:你可以讓它保持原樣或拿取你想要的<color=#81ccefff>方塊</color>。
msgBaseDestroyed:哦，不！你不應該破壞<color=#f23d3dff>基地</color>的！只能祝你下次好運了。
msgBaseSpotted01:你已經找到了一處<color=#f23d3dff>敵方基地</color>！看起來是可以佔領的……
msgBaseSpotted02:擊敗所有<color=#f23d3dff>基地守衛</color>。注意不要破壞<color=#f23d3dff>基地</color>。
QLDefeatEnemies:擊敗所有基地守衛
QLTitle:佔領敵方基地
QLDescription:該地點附近建起了一處敵方基地。在他們穩固之前佔領那座基地。
$MissionCaptureEnemyBase2
QLDefeatEnemies:擊敗前哨基地守衛者
QLTitle:佔領敵方前哨基地
QLDescription:有報告稱該區域內存在敵方前哨基地。他們的守衛者載具正在騷擾當地居民。擊敗守衛者並佔領前哨基地。
$MissionCaptureEnemyBase3
QLDefeatEnemies:擊敗叛軍衛隊
QLTitle:接管叛軍的站點
QLDescription:我們正在接收一個信號，這個信號說這個地區可能有一個叛軍的站點，請你去調查信號的來源，並調查一下叛軍的站點，如果你能找到它的話。
$MissionCaptureEnemyBase4
QLDefeatEnemies:擊敗敵人的載具
QLTitle:接管敵人的基地
QLDescription:一些敵人已經在附近建立了一個基地。他們錯過了最後向銀河政部付款的期限，現在他們的基地被沒收了。如果你擊毀了這些敵人，你可以要求接管這個基地。
$MissionCaptureEnemyBase5
QLDefeatEnemies:攻擊科技後衛者
QLTitle:接管科技後衛者基地
QLDescription:科技後衛者偷取了銀河政部零件去附近的一個基地進行黑市交易。摧毀科技後衛者後它們的總部就是你的了。
$MissionDestroyEnemyBase
msgBaseDestroyed01:<color=#f23d3dff>敵方基地</color>已被摧毀！
msgBaseDestroyed02:為什麼不趁現在從殘骸中收集一些<color=#81ccefff>方塊</color>呢！
msgBaseSpotted01:你已經找到了一處<color=#f23d3dff>敵方基地</color>！我不認為他們會輕易投降……
msgBaseSpotted02:拆掉基地的所有方塊，摧毀這座<color=#f23d3dff>基地</color>！
QLTitle:摧毀敵方基地
QLDescription:拆掉基地的所有方塊
$Mission_DefeatEnemySequential
msgComplete1:<color=#f23d3dff>敵人</color>已被摧毀。但又有敵人過來了，當心！
msgComplete2:第二輪敵人已被擊敗。最後一波<color=#f23d3dff>敵人</color>正在接近。
msgComplete3:敵人已全部消滅。所有<color=#f23d3dff>敵人</color>均被摧毀。
msgSpotted1:已發現<color=#f23d3dff>敵人</color>！在增援到達之前，擊敗它。
msgSpotted2:<color=#f23d3dff>敵人</color>增援已經到達。
msgSpotted3:這是最後一波<color=#f23d3dff>敵人</color>。
QLFight:摧毀敵人
QLFind:找到敵人
QLTitle:擊敗數波敵人
QLDescription:這邊區域中陸續出現了幾個新的敵對勢力。他們充滿敵意，想要佔領這片土地。在他們站穩腳跟之前擊敗他們。
$Mission_DefeatEnemySequential2
QLFight:摧毀敵人
QLFind:找到敵人
QLTitle:摧毀敵方增援
QLDescription:一組高攻擊性空投部隊已出現在附近區域。在他們站穩腳跟之前，找到他們的空投區，摧毀先鋒並在增援到達時將他們一網打盡。
$Mission_DefeatEnemySequential3
QLFight:摧毀敵人
QLFind:找到敵人
QLTitle:摧毀敵方後援
QLDescription:一組高攻擊性空投部隊已出現在附近區域。在他們站穩腳跟之前，找到他們的空投區，摧毀先鋒並在增援到達時將他們一網打盡。
$Mission_DefeatEnemySequential4
msgComplete1:該<color=#f23d3dff>敵人</color>已發出警報。更多的<color=#f23d3dff>敵人</color>正在朝你的位置聚集。
msgComplete2:已擊敗第二波敵人。又來了一波。
msgComplete3:做的很好，已擊敗全部<color=#f23d3dff>敵人</color>。
msgComplete4:<color=#f23d3dff>敵人</color>已被摧毀。非常好！
msgSpotted1:擊敗那個<color=#f23d3dff>敵人</color>，隨後擊倒他的剩餘部隊。
msgSpotted2:注意，更多<color=#f23d3dff>敵方</color>部隊正在前來。
msgSpotted3:<color=#f23d3dff>敵方載具</color>很快就會耗盡。
msgSpotted4:拜託！更多的<color=#f23d3dff>敵方</color>部隊正在靠近。
QLFight:摧毀敵人
QLFind:找到敵人
QLTitle:摧毀敵方中隊
QLDescription:敵方載具中隊已將這片區域定位下一個侵略點。將他們的計劃扼殺在搖籃裡，在他們造成重大危害之前找到並摧毀他們。
$Mission_DefeatEnemySequential5
msgComplete1:那個<color=#f23d3dff>敵人</color>看起來非常自信。附近可能有其他<color=#f23d3dff>敵人</color>。
msgComplete2:哈哈！他們還以為能輕而易舉地擊敗你。
msgComplete3:幹得漂亮，<color=#f23d3dff>敵人</color>已被擊敗。
msgComplete4:漂亮！ <color=#f23d3dff>敵人</color>已被擊敗。
msgComplete5:這是最後一波<color=#f23d3dff>敵人</color>。幹得漂亮！
msgSpotted1:幹掉他！幹掉他！
msgSpotted2:有增援！更多<color=#f23d3dff>敵方</color>部隊正在來的路上。
msgSpotted3:看起來你選錯了對手。更多<color=#f23d3dff>敵人</color>來了。
msgSpotted4:別鬆懈，更多<color=#f23d3dff>敵人</color>正在靠近。
msgSpotted5:終於，這是最後一波<color=#f23d3dff>敵人</color>了。
QLFight:讓敵人癱瘓
QLFind:找到敵人
QLTitle:摧毀敵方部隊
QLDescription:一個敵方游擊部隊正在靠近這片區域。不要讓他們的偵察兵建立好安全降落區，不然等他們集結完畢後會更難對付。前往他們的降落地點，在他們降落時摧毀他們。
$Mission_DestroyFleeingEnemy01
QLTitle:追上賽車
QLDescription:在限定時間內追上賽車。追上並摧毀賽車以獲得獎勵。如果賽車逃走或不能在規定時間內追上賽車，你將一無所獲。
QLFind:找到賽車載具
QLCatchAndDestroy:摧毀賽車
msgEnemiesSpotted:它在這兒抓住並摧毀賽車載具！
msgFailedLostThem1:你需要做的只有追上那輛賽車載具！
msgFailedLostThem2:任務失敗
msgFailedOutOfTime1:時間到！看上去這次是賽車贏了。
msgFailedOutOfTime2:任務失敗
msgMissionComplete1:你抓住他了！幹得漂亮！
msgMissionComplete2:任務完成
$Mission_DestroyFleeingEnemy02
QLTitle:賞金獵人
QLDescription:在限定時間內收集賞金。目標偷了我們的東西。我們要讓他立刻受到懲罰。追上並摧毀目標以獲得獎勵。如果目標逃走或不能在規定時間內追上它，你將一無所獲。
QLFind:找到目標載具
QLCatchAndDestroy:摧毀目標
$Mission_DestroyFleeingEnemy03
QLTitle:薑餅人
QLDescription:一位外號為“薑餅人”的重犯被發現出現在這片區域。找到並幹掉他。動作要快。如果時間耗盡，你將一無所獲。
QLFind:找到薑餅人
QLCatchAndDestroy:摧毀薑餅人
$Mission_DestroyFleeingEnemy04
QLTitle:有一個逃跑者
QLDescription:該載具買了我們的方塊不給錢。在限定時間內追上並摧毀它。
QLFind:找到逃跑者
QLCatchAndDestroy:摧毀逃跑者
$Mission_DestroyFleeingEnemy05
QLTitle:逃犯
QLDescription:在該區域發現一名逃犯。他偷走了某人的載具並潛逃。在限定時間內找到他並截停他的載具。
QLFind:找到該逃犯。
QLCatchAndDestroy:摧毀逃犯
$Mission_DestroyFleeingEnemy06
QLTitle:有本事就抓住我
QLDescription:你認為自己很快？看看你能否追上我們的冠軍。試試吧。如果你能在限定時間內追上我們的冠軍並摧毀他的駕駛室，就會收到一份獎勵。 *咳咳*……然後你將變成新任冠軍……*咳咳*，那是什麼？沒什麼，去追趕我們的冠軍吧！已經出發了！
QLFind:找到冠軍
QLCatchAndDestroy:摧毀冠軍
$Mission_DestroyFleeingEnemy07
QLTitle:保持住
QLDescription:嘿，慢吞吞！看看你能否在限定時間內趕上我！做到就有獎賞！來吧，出發！
QLFind:找到賽車
QLCatchAndDestroy:摧毀賽車
$Mission_DestroyFleeingEnemy08
QLTitle:停下！小偷！
QLDescription:某個卑鄙的小偷在這裡偷了大家的東西。他走不遠。在限定時間內找到他，給他個教訓。
QLFind:找到小偷
QLCatchAndDestroy:摧毀小偷
$Mission_DestroyFleeingEnemy09
QLTitle:兜風者
QLDescription:我最快的一輛載具被孩子偷走了。我們需要你追上他，給他們個教訓。追上並會換載具，嚇嚇他們。但你一定要快。如果拖得太久，他們就會惹出更大的麻煩。
QLFind:找到兜風者
QLCatchAndDestroy:毀壞兜風者
$Mission_DestroyFleeingEnemy10
QLTitle:捉住間諜
QLDescription:敵方間諜偷走了我們機構的某些機密。她走不遠。在她轉移數據前追上她並摧毀她的載具。
QLFind:找到間諜
QLCatchAndDestroy:摧毀間諜
$Mission_FindDeliveryCrate_GSO
QLTitle:空投物資
QLDescription:附近區域偵測到了一個無人認領的送貨箱。先到先得，這是規矩！當然，競爭在所難免……
QL01:進入任務區域
QL02:Find the Delivery Crate [NEW]
QL03:擊敗敵對勘探者
QL04:打開送貨箱
msgEnteringArea:送貨箱就在這片區域的某處，但你要趕在其他人之前找到它……
msgEnemyLanding:太晚了！有一位敵對勘探者正在接近貨箱。你需要先擊敗他。
msgEnemyDestroyed:敵人已擊倒。現在去收集貨箱吧！
msgCrateUnlocked:你趕在其他人之前找到了貨箱。享受屬於自己的寶物吧！
$Mission_FindDeliveryCrate_GC
QLTitle:被遺棄的工具箱
QLDescription:一輛深空聯合礦業載具在前往採礦時，將自己的工具箱落在了這裡。你可以將其中的東西佔為己有……但要趕在失主回來之前！
QL01:進入任務區域
QL02:找到工具箱
QL03:擊敗返回的載具
QL04:打開工具箱
msgEnteringArea:送貨箱就在這片區域的某處，但你要趕在失主之前找到它……
msgEnemyLanding:太晚了！失主已經返回，看上去很憤怒！做好戰鬥準備！
msgEnemyDestroyed:看起來你獲得了勝利！工具箱現在是你的了。
msgCrateUnlocked:看起來失主還沒有回來。去吧，裡面的東西都是你的了！
$Mission_FindDeliveryCrate_VEN
QLTitle:詭計之箱
QLDescription:附近發現了一個裝有風速疾行公司零件的工具箱。它怎麼會出現在這裡？誰知道呢！如果你動作夠迅速，就能將其歸為己有。
QL01:進入任務區域
QL02:找到工具箱
QL03:擊敗敵方載具
QL04:打開工具箱
msgEnteringArea:工具箱就在這片區域的某處，但你一定要快……
msgEnemyLanding:太晚了！另一輛載具先你一步發現了工具箱。如果你能將其擊敗，工具箱就還是你的……
msgEnemyDestroyed:敵人已擊倒。現在去收集工具箱吧！
msgCrateUnlocked:你趕在其他人之前找到了工具箱。享受屬於自己的寶物吧！
$Mission_FindDeliveryCrate_HE
QLTitle:丟失的行李
QLDescription:一件從貨運飛機上掉落下來的行李箱落在了附近。如果你能找到它，你就可以打開它……前提是你是第一個找到的。
QL01:進入任務區域
QL02:找到行李箱
QL03:擊敗敵方載具
QL04:打開行李箱
msgEnteringArea:送貨箱就在這片區域的某處，但你要趕在其他人之前找到它……
msgEnemyLanding:太晚了！一輛載具正在申請打開行李箱。你需要先擊敗他。
msgEnemyDestroyed:敵人已擊倒。現在去收集貨箱吧！
msgCrateUnlocked:你趕在其他人之前找到了貨箱。享受屬於自己的寶物吧！
$GC_Harvesting_Missions
QLTitleGrade1Harvesting01:新手收割機 I
QLDescGrade1Harvesting01:砍樹
QLLongDescGrade1Harvesting01:這個區域已經被標記為採石場，重礦工業希望你砍下一些樹來以便清理這個區域。如果這些東西對你有用，你可以留著。
QLTitleGrade1Harvesting02:新手收割機 II
QLDescGrade1Harvesting02:清理石頭
QLLongDescGrade1Harvesting02:重礦工業在這個區域進行地質調查，需要你去分解附近的岩石，以幫助確定可以找到什麼樣的資源。如果你願意，你可以保留任何你發現的東西。
QLTitleGrade1Harvesting03:新手收割機 III
QLDescGrade1Harvesting03:變賣資源
QLLongDescGrade1Harvesting03:自從應多莉西亞國家聲明進入一段基礎建設發展時期，資源市場就一直在增長。深空聯合礦業需要你在一個交易站收集和銷售盡可能多的資源塊，以幫助滿足新的需求。他們將會獎勵你的。
QLTitleGrade2HarvestingOre01:鐵礦採掘機
QLDescGrade2HarvestingOre01:採掘鐵礦
QLLongDescGrade2HarvestingOre01:鐵礦！土庫拉斯金的新命令是升級他們帶著銀河政部大砲的整個海軍。重礦工業想把鐵礦賣給他們。重礦工業將獎勵任何能找到鐵礦富集區的勘探者。找到它，砸開石頭。重礦工業將會在你收集到東西後派出無人機勘探其它礦點裂隙，你能保有你收集到的物塊。
QLTitleGrade2HarvestingOre02:鎘瑛採掘機
QLDescGrade2HarvestingOre02:採掘鎘瑛
QLLongDescGrade2HarvestingOre02:美好未來最近宣布進入世界礦業。他們還沒有公佈公司涉及的物塊範疇，但你打賭他們將涉足電業。 重礦工業正在增加鎘瑛儲備。他們將獎勵任何發現鎘瑛的勘探者。幫助重礦工業標記礦物地點，而你可以保存所獲物塊。
QLTitleGrade2HarvestingOre03:鈦礦採掘機
QLDescGrade2HarvestingOre03:採掘鈦礦
QLLongDescGrade2HarvestingOre03:重礦工業希望在下個季度加快生產他們的“大男孩”輪胎。為了實現這一目標，他們需要更多的原始的鈦礦。如果你能在表面發現鈦礦的礦點裂隙，他們會獎勵你。你可以保留鈦礦而他們則正在尋找最好的方法來開始他們的冶金水力壓裂計劃。
QLTitleGrade2HarvestingOre04:煤礦採掘機
QLDescGrade2HarvestingOre04:採掘煤礦
QLLongDescGrade2HarvestingOre04:重礦工業希望研究一種新型爆炸物。找到一些煤礦礦石裂隙，砸碎礦石。 重礦工業會在你前進的時候注意到你的位置。
QLTitleGrade2HarvestingShards01:氖瑛采掘機
QLDescGrade2HarvestingShards01:採掘氖瑛
QLLongDescGrade2HarvestingShards01:光明節即將到來，重礦工業需要去定位盡可能多的氖瑛。發現並且打碎氖瑛來獲得報酬。
